Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R00;0;38.47400416964382;-112.87234523195679;0.9960801405032454;S3;0.725993;2022-04-16 00:00:00;S0;0.731871;2022-04-16 00:00:00;
#R01;1;38.473959217746746;-112.87235322020004;1.0000684958128836;S3;0.725263;2022-04-16 00:00:10;S0;0.731032;2022-04-16 00:00:10;
#R02;2;38.4731615611986;-112.8724038886254;1.0671282611252866;S3;0.711601;2022-04-16 00:00:20;S0;0.717487;2022-04-16 00:00:20;
#R03;3;38.4706385357133;-112.87464029366869;0.6215588201875021;S3;0.716182;2022-04-16 00:00:30;S0;0.722204;2022-04-16 00:00:30;
#04;4;38.473539904214064;-112.87556291515254;0.9615563967235378;S3;0.707358;2022-04-16 00:00:40;S0;0.713257;2022-04-16 00:00:40;
#05;5;38.47143299283641;-112.87265403202454;0.9005230641241768;S3;0.747623;2022-04-16 00:00:50;S0;0.753423;2022-04-16 00:00:50;
#06;6;38.47113007313621;-112.87213260963259;0.9036201471139536;S3;0.75176;2022-04-16 00:01:00;S0;0.75756;2022-04-16 00:01:00;
#07;7;38.471715127227284;-112.87453346068544;1.0317947489976071;S3;0.703373;2022-04-16 00:01:10;S0;0.709326;2022-04-16 00:01:10;
#08;8;38.47167304605403;-112.87466159587599;1.0451280135137984;S3;0.70753;2022-04-16 00:01:20;S0;0.71356;2022-04-16 00:01:20;
#09;9;38.47174555066425;-112.8749548501156;1.0489618226293074;S3;0.706985;2022-04-16 00:01:30;S0;0.713127;2022-04-16 00:01:30;
#10;10;38.47138591161465;-112.87235680089356;0.9539635121298147;S3;0.729658;2022-04-16 00:01:40;S0;0.73582;2022-04-16 00:01:40;
#11;11;38.47137636350787;-112.87219077920938;0.9695047729736198;S3;0.729772;2022-04-16 00:01:50;S0;0.735799;2022-04-16 00:01:50;
#12;12;38.47122698159774;-112.87125878062766;0.914588797121498;S3;0.74826;2022-04-16 00:02:00;S0;0.754025;2022-04-16 00:02:00;
#13;13;38.471094639773355;-112.8714679878434;0.9413016436308032;S3;0.743777;2022-04-16 00:02:10;S0;0.749811;2022-04-16 00:02:10;
#14;14;38.472032742004416;-112.87089806415166;0.7467908765006787;S3;0.756085;2022-04-16 00:02:20;S0;0.762087;2022-04-16 00:02:20;
#15;15;38.4708793118924;-112.87312878439499;0.9281717269298276;S3;0.728502;2022-04-16 00:02:30;S0;0.734889;2022-04-16 00:02:30;
#16;16;38.47126724304836;-112.8717091104704;0.9566572859347089;S3;0.734295;2022-04-16 00:02:40;S0;0.740511;2022-04-16 00:02:40;
#17;17;38.47122068839399;-112.87435182365044;1.010201851909713;S3;0.708499;2022-04-16 00:02:50;S0;0.715166;2022-04-16 00:02:50;
#18;18;38.47092080823693;-112.87400668300211;0.9541286169295671;S3;0.72581;2022-04-16 00:03:00;S0;0.73196;2022-04-16 00:03:00;
#19;19;38.471237148839215;-112.874491419683;1.0160423829543683;S3;0.708288;2022-04-16 00:03:10;S0;0.715088;2022-04-16 00:03:10;
#20;20;38.4718553074719;-112.87106412272202;0.7372994531343395;S3;0.752342;2022-04-16 00:03:20;S0;0.758645;2022-04-16 00:03:20;
#21;21;38.470855183248794;-112.87407622632539;0.9114933899076456;S3;0.713002;2022-04-16 00:03:30;S0;0.71952;2022-04-16 00:03:30;
#22;22;38.472196630456104;-112.87285326839813;0.8290776126430782;S3;0.726296;2022-04-16 00:03:40;S0;0.733013;2022-04-16 00:03:40;
#23;23;38.471160078281606;-112.87203058394189;0.9488444623320303;S3;0.729003;2022-04-16 00:03:50;S0;0.735303;2022-04-16 00:03:50;
#24;24;38.4721833820701;-112.87328699576696;0.8428048603304382;S3;0.720128;2022-04-16 00:04:00;S0;0.726857;2022-04-16 00:04:00;
#25;25;38.47206285451635;-112.87182993180689;0.7922727016483218;S3;0.74663;2022-04-16 00:04:10;S0;0.75264;2022-04-16 00:04:10;
#26;26;38.471827573674574;-112.8708483524814;0.7323334091292136;S3;0.752768;2022-04-16 00:04:20;S0;0.759105;2022-04-16 00:04:20;
#27;27;38.47082960176399;-112.87431379442135;0.9104558155083937;S3;0.704792;2022-04-16 00:04:30;S0;0.711454;2022-04-16 00:04:30;
#28;28;38.47201847969613;-112.87257581556092;0.8170547716140101;S3;0.733476;2022-04-16 00:04:40;S0;0.739883;2022-04-16 00:04:40;
#29;29;38.47138631325602;-112.8716183121321;0.9176333594109319;S3;0.736025;2022-04-16 00:04:50;S0;0.742286;2022-04-16 00:04:50;
#30;30;38.47223617419578;-112.87304302897101;0.8186865596160713;S3;0.724145;2022-04-16 00:05:00;S0;0.730933;2022-04-16 00:05:00;
#31;31;38.47124299771873;-112.870828972859;0.8632376119804087;S3;0.744375;2022-04-16 00:05:10;S0;0.750805;2022-04-16 00:05:10;
#32;32;38.47203603012941;-112.8718234501122;0.7832515159079999;S3;0.742711;2022-04-16 00:05:20;S0;0.749027;2022-04-16 00:05:20;
#33;33;38.471709931997275;-112.87012263895856;0.7550226680545685;S3;0.757885;2022-04-16 00:05:30;S0;0.764078;2022-04-16 00:05:30;
#34;34;38.47084231496675;-112.86919155543232;0.788277451834425;S3;0.75984;2022-04-16 00:05:40;S0;0.766446;2022-04-16 00:05:40;
#35;35;38.47188845722119;-112.8716046715976;0.704867100305703;S3;0.740065;2022-04-16 00:05:50;S0;0.746946;2022-04-16 00:05:50;
#36;36;38.471143471922375;-112.87108952268446;0.8706190613310757;S3;0.740696;2022-04-16 00:06:00;S0;0.747188;2022-04-16 00:06:00;
#37;37;38.47105638749795;-112.86914546646084;0.7611113582783903;S3;0.762473;2022-04-16 00:06:10;S0;0.768974;2022-04-16 00:06:10;
#38;38;38.47187284918363;-112.87132719258825;0.7216139198562744;S3;0.743501;2022-04-16 00:06:20;S0;0.750243;2022-04-16 00:06:20;
#39;39;38.471242361760716;-112.8734415829425;0.7973499153235719;S3;0.716419;2022-04-16 00:06:30;S0;0.723353;2022-04-16 00:06:30;
#40;40;38.471939372153365;-112.87178851807154;0.7672604952826785;S3;0.738639;2022-04-16 00:06:40;S0;0.745239;2022-04-16 00:06:40;
#41;41;38.47113521045156;-112.87340468285853;0.8079672545813317;S3;0.71661;2022-04-16 00:06:50;S0;0.723455;2022-04-16 00:06:50;
#42;42;38.47092854207802;-112.87413600411878;0.8433907655194903;S3;0.70607;2022-04-16 00:07:00;S0;0.713057;2022-04-16 00:07:00;
#43;43;38.4710981050194;-112.87338462202149;0.7990598524005325;S3;0.717086;2022-04-16 00:07:10;S0;0.723985;2022-04-16 00:07:10;
#44;44;38.47084466880696;-112.87312555779603;0.793537153688165;S3;0.719735;2022-04-16 00:07:20;S0;0.726756;2022-04-16 00:07:20;
#45;45;38.472252846529855;-112.87110998723355;0.6492629493457989;S3;0.742908;2022-04-16 00:07:30;S0;0.750058;2022-04-16 00:07:30;
#46;46;38.47103566783476;-112.87402278216675;0.8048337782322226;S3;0.710737;2022-04-16 00:07:40;S0;0.71801;2022-04-16 00:07:40;
#47;47;38.471292416318306;-112.87350236078986;0.7766837259084602;S3;0.715896;2022-04-16 00:07:50;S0;0.722868;2022-04-16 00:07:50;
#48;48;38.47231973678716;-112.87007859860903;0.6288496715049289;S3;0.7551;2022-04-16 00:08:00;S0;0.762094;2022-04-16 00:08:00;
#49;49;38.47104375498925;-112.87405162574397;0.7868626283783935;S3;0.710549;2022-04-16 00:08:10;S0;0.717942;2022-04-16 00:08:10;
#50;50;38.47118476779293;-112.87375207072667;0.7720703489705011;S3;0.712709;2022-04-16 00:08:20;S0;0.719881;2022-04-16 00:08:20;
#51;51;38.47237462870357;-112.87140373972557;0.7309340157922859;S3;0.743178;2022-04-16 00:08:30;S0;0.749903;2022-04-16 00:08:30;
#52;52;38.47252536459935;-112.87381437227084;0.8011564475328424;S3;0.711736;2022-04-16 00:08:40;S0;0.719172;2022-04-16 00:08:40;
#53;53;38.47232875073788;-112.87294234817504;0.7447406370492973;S3;0.720348;2022-04-16 00:08:50;S0;0.72757;2022-04-16 00:08:50;
#54;54;38.47071150961452;-112.86992615521979;0.7372678838067118;S3;0.748062;2022-04-16 00:09:00;S0;0.755157;2022-04-16 00:09:00;
#55;55;38.47108871540651;-112.86836942327635;0.7151673275407555;S3;0.768284;2022-04-16 00:09:10;S0;0.774973;2022-04-16 00:09:10;
#56;56;38.47224636981398;-112.87147330298625;0.692491739455382;S3;0.735696;2022-04-16 00:09:20;S0;0.742893;2022-04-16 00:09:20;
#57;57;38.472341395480676;-112.87127398031728;0.7067516553466549;S3;0.740936;2022-04-16 00:09:30;S0;0.747894;2022-04-16 00:09:30;
