station northing easting depth
DAS00 4262994.000108605 335782.09998680453 0.0
DAS01 4262994.000108605 335782.09998680453 1.02
DAS02 4262994.000108605 335782.09998680453 2.04
DAS03 4262994.000108605 335782.09998680453 3.06
DAS04 4262994.000108605 335782.09998680453 4.08
DAS05 4262994.000108605 335782.09998680453 5.1
DAS06 4262994.000108605 335782.09998680453 6.12
DAS07 4262994.000108605 335782.09998680453 7.140000000000001
DAS08 4262994.000108605 335782.09998680453 8.16
DAS09 4262994.000108605 335782.09998680453 9.18
DAS10 4262994.000108605 335782.09998680453 10.2
DAS11 4262994.000108605 335782.09998680453 11.22
DAS12 4262994.000108605 335782.09998680453 12.24
DAS13 4262994.000108605 335782.09998680453 13.26
DAS14 4262994.000108605 335782.09998680453 14.280000000000001
DAS15 4262994.000108605 335782.09998680453 15.3
DAS16 4262994.000108605 335782.09998680453 16.32
DAS17 4262994.000108605 335782.09998680453 17.34
DAS18 4262994.000108605 335782.09998680453 18.36
DAS19 4262994.000108605 335782.09998680453 19.38
DAS20 4262994.000108605 335782.09998680453 20.4
DAS21 4262994.000108605 335782.09998680453 21.42
DAS22 4262994.000108605 335782.09998680453 22.44
DAS23 4262994.000108605 335782.09998680453 23.46
DAS24 4262994.000108605 335782.09998680453 24.48
DAS25 4262994.000108605 335782.09998680453 25.5
DAS26 4262994.000108605 335782.09998680453 26.52
DAS27 4262994.000108605 335782.09998680453 27.54
DAS28 4262994.000108605 335782.09998680453 28.560000000000002
DAS29 4262994.000108605 335782.09998680453 29.580000000000002
DAS30 4262994.000108605 335782.09998680453 30.6
DAS31 4262994.000108605 335782.09998680453 31.62
DAS32 4262994.000108605 335782.09998680453 32.64
DAS33 4262994.000108605 335782.09998680453 33.660000000000004
DAS34 4262994.000108605 335782.09998680453 34.68
DAS35 4262994.000108605 335782.09998680453 35.7
DAS36 4262994.000108605 335782.09998680453 36.72
DAS37 4262994.000108605 335782.09998680453 37.74
DAS38 4262994.000108605 335782.09998680453 38.76
DAS39 4262994.000108605 335782.09998680453 39.78
DAS40 4262994.000108605 335782.09998680453 40.8
DAS41 4262994.000108605 335782.09998680453 41.82
DAS42 4262994.000108605 335782.09998680453 42.84
DAS43 4262994.000108605 335782.09998680453 43.86
DAS44 4262994.000108605 335782.09998680453 44.88
DAS45 4262994.000108605 335782.09998680453 45.9
DAS46 4262994.000108605 335782.09998680453 46.92
DAS47 4262994.000108605 335782.09998680453 47.94
DAS48 4262994.000108605 335782.09998680453 48.96
DAS49 4262994.000108605 335782.09998680453 49.980000000000004
DAS50 4262994.000108605 335782.09998680453 51.0
DAS51 4262994.000108605 335782.09998680453 52.02
DAS52 4262994.000108605 335782.09998680453 53.04
DAS53 4262994.000108605 335782.09998680453 54.06
DAS54 4262994.000108605 335782.09998680453 55.08
DAS55 4262994.000108605 335782.09998680453 56.1
DAS56 4262994.000108605 335782.09998680453 57.120000000000005
DAS57 4262994.000108605 335782.09998680453 58.14
DAS58 4262994.000108605 335782.09998680453 59.160000000000004
DAS59 4262994.000108605 335782.09998680453 60.18
DAS60 4262994.000108605 335782.09998680453 61.2
DAS61 4262994.000108605 335782.09998680453 62.22
DAS62 4262994.000108605 335782.09998680453 63.24
DAS63 4262994.000108605 335782.09998680453 64.26
DAS64 4262994.000108605 335782.09998680453 65.28
DAS65 4262994.000108605 335782.09998680453 66.3
DAS66 4262994.000108605 335782.09998680453 67.32000000000001
DAS67 4262994.000108605 335782.09998680453 68.34
DAS68 4262994.000108605 335782.09998680453 69.36
DAS69 4262994.000108605 335782.09998680453 70.38
DAS70 4262994.000108605 335782.09998680453 71.4
DAS71 4262994.000108605 335782.09998680453 72.42
DAS72 4262994.000108605 335782.09998680453 73.44
DAS73 4262994.000108605 335782.09998680453 74.46000000000001
DAS74 4262994.000108605 335782.09998680453 75.48
DAS75 4262994.000108605 335782.09998680453 76.5
DAS76 4262994.000108605 335782.09998680453 77.52
DAS77 4262994.000108605 335782.09998680453 78.54
DAS78 4262994.000108605 335782.09998680453 79.56
DAS79 4262994.000108605 335782.09998680453 80.58
DAS80 4262994.000108605 335782.09998680453 81.6
DAS81 4262994.000108605 335782.09998680453 82.62
DAS82 4262994.000108605 335782.09998680453 83.64
DAS83 4262994.000108605 335782.09998680453 84.66
DAS84 4262994.000108605 335782.09998680453 85.68
DAS85 4262994.000108605 335782.09998680453 86.7
DAS86 4262994.000108605 335782.09998680453 87.72
DAS87 4262994.000108605 335782.09998680453 88.74
DAS88 4262994.000108605 335782.09998680453 89.76
DAS89 4262994.000108605 335782.09998680453 90.78
DAS90 4262994.000108605 335782.09998680453 91.8
DAS91 4262994.000108605 335782.09998680453 92.82000000000001
DAS92 4262994.000108605 335782.09998680453 93.84
DAS93 4262994.000108605 335782.09998680453 94.86
DAS94 4262994.000108605 335782.09998680453 95.88
DAS95 4262994.000108605 335782.09998680453 96.9
DAS96 4262994.000108605 335782.09998680453 97.92
DAS97 4262994.000108605 335782.09998680453 98.94
DAS98 4262994.000108605 335782.09998680453 99.96000000000001
DAS99 4262994.000108605 335782.09998680453 100.98
DAS100 4262994.000108605 335782.09998680453 102.0
DAS101 4262994.000108605 335782.09998680453 103.02
DAS102 4262994.000108605 335782.09998680453 104.04
DAS103 4262994.000108605 335782.09998680453 105.06
DAS104 4262994.000108605 335782.09998680453 106.08
DAS105 4262994.000108605 335782.09998680453 107.10000000000001
DAS106 4262994.000108605 335782.09998680453 108.12
DAS107 4262994.000108605 335782.09998680453 109.14
DAS108 4262994.000108605 335782.09998680453 110.16
DAS109 4262994.000108605 335782.09998680453 111.18
DAS110 4262994.000108605 335782.09998680453 112.2
DAS111 4262994.000108605 335782.09998680453 113.22
DAS112 4262994.000108605 335782.09998680453 114.24000000000001
DAS113 4262994.000108605 335782.09998680453 115.26
DAS114 4262994.000108605 335782.09998680453 116.28
DAS115 4262994.000108605 335782.09998680453 117.3
DAS116 4262994.000108605 335782.09998680453 118.32000000000001
DAS117 4262994.000108605 335782.09998680453 119.34
DAS118 4262994.000108605 335782.09998680453 120.36
DAS119 4262994.000108605 335782.09998680453 121.38
DAS120 4262994.000108605 335782.09998680453 122.4
DAS121 4262994.000108605 335782.09998680453 123.42
DAS122 4262994.000108605 335782.09998680453 124.44
DAS123 4262994.000108605 335782.09998680453 125.46000000000001
DAS124 4262994.000108605 335782.09998680453 126.48
DAS125 4262994.000108605 335782.09998680453 127.5
DAS126 4262994.000108605 335782.09998680453 128.52
DAS127 4262994.000108605 335782.09998680453 129.54
DAS128 4262994.000108605 335782.09998680453 130.56
DAS129 4262994.000108605 335782.09998680453 131.58
DAS130 4262994.000108605 335782.09998680453 132.6
DAS131 4262994.000108605 335782.09998680453 133.62
DAS132 4262994.000108605 335782.09998680453 134.64000000000001
DAS133 4262994.000108605 335782.09998680453 135.66
DAS134 4262994.000108605 335782.09998680453 136.68
DAS135 4262994.000108605 335782.09998680453 137.7
DAS136 4262994.000108605 335782.09998680453 138.72
DAS137 4262994.000108605 335782.09998680453 139.74
DAS138 4262994.000108605 335782.09998680453 140.76
DAS139 4262994.000108605 335782.09998680453 141.78
DAS140 4262994.000108605 335782.09998680453 142.8
DAS141 4262994.000108605 335782.09998680453 143.82
DAS142 4262994.000108605 335782.09998680453 144.84
