phase;date_clock;tsec;t0_loc;xloc;yloc;zloc;eigval_max;eigval_mid;eigval_min;eigvec_max_e;eigvec_max_n;eigvec_max_u;eigvec_mid_e;eigvec_mid_n;eigvec_mid_u;mom;fc_p;fc_s;rad;sd;mw;energy;src_nrcv;src_misfit;mom_sdev;fc_sdev;snr_loc;orthogonality;distance_rcv;noise_level_acc
1;21:04:19:13:58:55;50335.0;0.4445;335454.7;4263089.4;588.5;96.47;42.25;12.82;0.92209;-0.31378;-0.22649;0.31969;0.94746;-0.01110;4.8077e+06;115.9;39.5;12.69;1030.165;-1.545;9.7757e-02;3;0.2444;1.8175e+06;35.0;2.4;0.873;1508.9;2.5292e-06
1;21:04:19:14:04:23;50663.0;0.0501;335441.6;4263059.7;559.4;73.93;48.76;10.20;0.92720;-0.19886;-0.31741;0.20505;0.97865;-0.01417;2.3078e+06;145.5;135.9;6.03;4594.556;-1.758;1.9695e-01;6;0.3230;7.9410e+05;4.8;3.3;0.797;1481.9;1.7897e-06
1;22:04:19:17:17:45;148665.0;0.7294;335285.2;4263138.8;542.0;63.69;57.36;9.50;0.85759;-0.27255;-0.43618;0.29224;0.95607;-0.02281;1.3656e+07;47.8;105.4;14.09;2137.418;-1.243;5.3596e-01;10;0.2841;1.6544e+07;28.8;3.8;0.754;1514.5;2.4427e-06
1;22:04:19:17:18:47;148727.0;0.3617;335327.6;4263110.1;546.5;69.70;10.95;10.03;0.87095;-0.27200;-0.40922;0.24128;0.96223;-0.12606;8.2778e+06;176.1;86.8;6.87;11178.779;-1.388;1.6991e+00;11;0.3167;4.9387e+06;44.6;6.8;0.755;1502.9;2.4519e-06
1;22:04:19:17:19:49;148789.0;0.7928;335209.7;4263052.1;473.8;103.21;45.73;12.26;0.86991;-0.08977;-0.48497;0.10091;0.99489;-0.00315;4.4188e+06;124.2;155.9;6.42;7311.365;-1.570;5.8956e-01;3;0.2831;1.3049e+06;15.9;4.0;0.758;1472.1;2.3934e-06
1;22:04:19:17:27:06;149226.0;0.3049;335365.0;4263018.8;544.0;94.62;49.44;14.01;0.92027;-0.05342;-0.38762;0.05876;0.99827;0.00192;3.3619e+07;149.7;110.2;6.58;51661.770;-0.982;3.1615e+01;11;0.3534;9.1959e+06;19.8;10.0;0.813;1485.3;3.1624e-06
1;22:04:19:17:27:13;149233.0;0.3165;335430.3;4263106.2;566.1;100.85;33.75;12.21;0.83527;-0.44302;-0.32566;0.44578;0.89236;-0.07056;1.9329e+06;153.8;150.8;5.60;4822.736;-1.809;1.7315e-01;6;0.2481;8.6872e+05;1.4;2.2;0.799;1493.9;2.9376e-06
1;22:04:19:17:27:24;149244.0;0.7878;335369.1;4263123.9;564.3;73.54;48.56;9.58;0.87074;-0.29928;-0.39019;0.31419;0.94898;-0.02673;3.2750e+06;124.2;109.2;7.32;3648.950;-1.657;2.1753e-01;10;0.2687;2.8395e+06;7.5;3.4;0.778;1509.1;2.8795e-06
1;22:04:19:17:27:28;149248.0;0.0079;335326.3;4263076.6;516.6;61.98;19.28;9.52;0.88846;-0.20032;-0.41292;0.20811;0.97774;-0.02654;1.7781e+07;110.6;104.1;7.96;15422.012;-1.167;5.0353e+00;11;0.3703;5.5273e+06;3.2;7.3;0.697;1472.7;3.4484e-06
1;22:04:19:17:28:17;149297.0;0.4094;335233.6;4263074.6;495.9;79.92;18.46;11.62;0.82990;-0.31529;-0.46028;0.29872;0.94790;-0.11070;5.8158e+06;143.5;113.7;6.61;8826.867;-1.490;9.5200e-01;11;0.3453;2.1029e+06;14.9;6.9;0.717;1484.5;2.7181e-06
1;22:04:19:17:28:20;149300.0;0.7146;335208.0;4263052.4;481.2;64.79;54.66;9.62;0.85625;-0.08568;-0.50941;0.09886;0.99510;-0.00120;3.4543e+07;26.1;114.7;23.04;1235.470;-0.974;7.7878e-01;11;0.3249;5.1922e+07;44.3;4.5;0.677;1479.6;2.4875e-06
1;22:04:19:17:28:38;149318.0;0.0773;335271.4;4263081.7;485.8;94.83;58.51;12.70;0.87548;-0.16827;-0.45302;0.18148;0.98329;-0.01452;5.2403e+06;114.3;97.3;8.03;4422.825;-1.520;4.2981e-01;11;0.2852;2.9790e+06;8.5;4.3;0.677;1462.0;2.8678e-06
1;22:04:19:17:29:58;149398.0;0.7752;335443.6;4263080.0;573.3;92.62;26.00;10.77;0.90177;-0.36685;-0.22856;0.36987;0.92856;-0.03108;6.1988e+06;149.2;98.4;6.71;8965.616;-1.472;1.0970e+00;7;0.2973;1.3137e+06;25.4;4.6;0.897;1496.1;2.5565e-06
1;22:04:19:17:30:48;149448.0;0.8597;335278.5;4263066.3;529.0;61.99;27.32;9.50;0.88875;-0.14401;-0.43518;0.15414;0.98797;-0.01213;9.0198e+07;166.9;96.5;6.64;134995.740;-0.697;2.2358e+02;11;0.3085;3.5532e+07;35.2;13.7;0.921;1499.2;6.4105e-06
