Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R006;6;38.500699386027044;-112.8876781793709;2.095;DAS606;0.280272;2019-04-27 17:28:44.349601;DAS828;0.223073;2019-04-27 17:28:44.287128;
#R008;8;38.50047407435859;-112.88772201202293;2.043431005465044;DAS606;0.271799;2019-04-27 17:33:35.411857;DAS828;0.223251;2019-04-27 17:33:35.349273;
#R011;11;38.50093059466993;-112.88763319924968;2.155451146145393;DAS606;0.289954;2019-04-27 17:37:48.612419;DAS828;0.22238;2019-04-27 17:37:48.545908;
#R018;18;38.50090598907747;-112.89018947027382;2.1389227394900883;DAS606;0.285322;2019-04-27 18:00:01.222477;DAS828;0.21873;2019-04-27 18:00:01.163769;
#001;1;38.500135473192024;-112.88845001967053;2.146747910001508;DAS606;0.282271;2019-04-27 17:19:29.775523;DAS828;0.231639;2019-04-27 17:19:29.712067;
#002;2;38.5003179702563;-112.88829694750443;2.1961251071252157;DAS606;0.286525;2019-04-27 17:20:10.901991;DAS828;0.218229;2019-04-27 17:20:10.841207;
#003;3;38.50008358090853;-112.88873208335806;2.1525356281169787;DAS606;0.294605;2019-04-27 17:24:42.912643;DAS828;0.226185;2019-04-27 17:24:42.850241;
#004;4;38.50002314459905;-112.88866677072689;2.085309322283244;DAS606;0.275289;2019-04-27 17:26:28.382356;DAS828;0.219691;2019-04-27 17:26:28.310730;
#005;5;38.50029471105744;-112.88858578210963;2.196117628821817;DAS606;0.294953;2019-04-27 17:27:46.733563;DAS828;0.229191;2019-04-27 17:27:46.666561;
#007;7;38.50020674765421;-112.88854920892263;2.2013188628904348;DAS606;0.296241;2019-04-27 17:30:31.035367;DAS828;0.226821;2019-04-27 17:30:30.971359;
#009;9;38.500800969427964;-112.88870524619678;2.1283546107113986;DAS606;0.2843;2019-04-27 17:37:02.008436;DAS828;0.234878;2019-04-27 17:37:01.943013;
#010;10;38.499955206388165;-112.88869880403406;2.1038259006697495;DAS606;0.284979;2019-04-27 17:37:21.777229;DAS828;0.22481;2019-04-27 17:37:21.710710;
#012;12;38.5002595824214;-112.88845435685533;2.192775609310437;DAS606;0.292216;2019-04-27 17:40:30.616433;DAS828;0.230459;2019-04-27 17:40:30.557146;
#013;13;38.500160666678305;-112.8886145372977;2.215058021055758;DAS606;0.298095;2019-04-27 17:43:16.036416;DAS828;0.230949;2019-04-27 17:43:15.967692;
#014;14;38.50014598007936;-112.88900356301164;2.11453023037109;DAS606;0.293104;2019-04-27 17:45:43.365109;DAS828;0.223968;2019-04-27 17:45:43.300594;
#015;15;38.500168341576085;-112.88901959422847;2.110352847474582;DAS606;0.293078;2019-04-27 17:48:05.549217;DAS828;0.226543;2019-04-27 17:48:05.477682;
#016;16;38.49998811705736;-112.8887626809265;2.2143331815835396;DAS606;0.301215;2019-04-27 17:50:36.033822;DAS828;0.225633;2019-04-27 17:50:35.960265;
#017;17;38.500130669343605;-112.8886095460076;2.0549190495037233;DAS606;0.273906;2019-04-27 17:58:27.534400;DAS828;0.228299;2019-04-27 17:58:27.466765;
#019;19;38.50003471257518;-112.889093495869;2.1201951158436385;DAS606;0.290472;2019-04-27 18:06:04.981658;DAS828;0.222231;2019-04-27 18:06:04.915658;
#020;20;38.50000658077226;-112.88852906241146;2.0556881385374095;DAS606;0.273954;2019-04-27 18:07:15.663297;DAS828;0.224252;2019-04-27 18:07:15.594327;
#021;21;38.499955024495776;-112.88898355027898;2.1012246075781977;DAS606;0.282822;2019-04-27 19:47:25.473560;DAS828;0.222602;2019-04-27 19:47:25.418370;
#022;22;38.49987986389246;-112.88874259264792;2.2227814755224324;DAS606;0.302302;2019-04-27 19:49:21.471574;DAS828;0.2258;2019-04-27 19:49:21.411372;
#023;23;38.50020010454528;-112.8893442419004;2.136879162236679;DAS606;0.292569;2019-04-27 19:54:30.715918;DAS828;0.218333;2019-04-27 19:54:30.648069;
#024;24;38.50000122299498;-112.88913699954705;2.1085898265034486;DAS606;0.285041;2019-04-27 19:58:01.638535;DAS828;0.222404;2019-04-27 19:58:01.574710;
#025;25;38.500767878059676;-112.88883175712945;2.1832662524214856;DAS606;0.294095;2019-04-27 19:58:24.113435;DAS828;0.23595;2019-04-27 19:58:24.055428;
#026;26;38.50075989609254;-112.88886806228534;2.193220748881154;DAS606;0.296015;2019-04-27 20:20:57.736513;DAS828;0.235611;2019-04-27 20:20:57.674430;
#027;27;38.49997801659211;-112.88945096562206;2.175187771264343;DAS606;0.297444;2019-04-27 21:59:16.623394;DAS828;0.217215;2019-04-27 21:59:16.563929;
#028;28;38.499921843208895;-112.88869979837298;2.2205486787515123;DAS606;0.301898;2019-04-28 15:25:58.165763;DAS828;0.225524;2019-04-28 15:25:58.103915;
#029;29;38.49983636789991;-112.88824435067183;2.0443533178740334;DAS606;0.272102;2019-04-28 15:40:47.455005;DAS828;0.220042;2019-04-28 15:40:47.389505;
#030;30;38.49973469507511;-112.88903846595048;2.036889636307674;DAS606;0.276256;2019-04-28 15:44:20.836864;DAS828;0.211494;2019-04-28 15:44:20.770711;
#031;31;38.50004057823297;-112.88806727233367;2.1125523505213786;DAS606;0.280151;2019-04-28 16:11:49.486663;DAS828;0.224074;2019-04-28 16:11:49.423661;
#032;32;38.500128689062194;-112.88809868219556;2.142370046169754;DAS606;0.285852;2019-04-28 16:12:38.564544;DAS828;0.224907;2019-04-28 16:12:38.502341;
