Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R001;1;0.0;-0.0;10.717;WBS;7.49;2019-07-04 17:03:05.540000;WMF;7.03;2019-07-04 17:03:04.850000;
#R004;4;-4474.1936860044;-6158.199298102736;10.717;WBS;6.65;2019-07-04 17:35:10.800000;WMF;7.42;2019-07-04 17:35:11.640000;
#R007;7;8.713397067592892;-1029.8232002416783;10.717;WBS;7.43;2019-07-04 17:39:45.540000;WMF;7.14;2019-07-04 17:39:45.230000;
#R009;9;-5806.011490293264;3165.2029637061714;2.717;WBS;7.06;2019-07-04 17:43:03.640000;WMF;6.35;2019-07-04 17:43:02.780000;
#A002;2;-4391.590605130161;952.9302921813227;10.199265903210398;WBS;7.48;2019-07-04 17:09:30.290000;WMF;7.01;2019-07-04 17:09:29.590000;
#A003;3;-1229.7736402089786;-1186.165761102333;7.331240175200398;WBS;7.51;2019-07-04 17:12:25.140000;WMF;7.14;2019-07-04 17:12:24.480000;
#A005;5;1532.639195796158;855.4806102272333;8.462139914866455;WBS;7.85;2019-07-04 17:36:02.430000;WMF;7.28;2019-07-04 17:36:02.370000;
#A006;6;-6375.789443084666;3652.242504254166;7.495728378048514;WBS;7.22;2019-07-04 17:38:05.270000;WMF;6.27;2019-07-04 17:38:04.020000;
#A008;8;-6848.187982980285;-14183.035820224153;7.000285385901867;WBS;5.88;2019-07-04 17:42:29.690000;WMF;8.07;2019-07-04 17:42:32.510000;
#A010;10;-6062.835519536012;-7640.471419180757;3.389635496131561;WBS;6.14;2019-07-04 17:46:12.110000;WMF;7.2;2019-07-04 17:46:13.370000;
#A011;11;-4939.068486795785;-7945.553932384063;3.1235712996964904;WBS;6.15;2019-07-04 17:46:58.310000;WMF;7.27;2019-07-04 17:46:59.710000;
#A012;12;-1463.1497520586508;-1722.1666500922702;6.610893420910136;WBS;7.17;2019-07-04 17:59:48.890000;WMF;7.09;2019-07-04 17:59:48.550000;
#A013;13;-3149.3440196643137;-382.76701137610746;10.167981812074311;WBS;7.43;2019-07-04 18:00:10.190000;WMF;7.19;2019-07-04 18:00:09.790000;
#A014;14;-2340.6204540662275;-6198.742008545456;6.399363246188249;WBS;6.71;2019-07-04 18:00:49.500000;WMF;7.49;2019-07-04 18:00:50.770000;
#A015;15;-2432.9668571377724;2051.0402096320136;4.5755203721295725;WBS;7.2;2019-07-04 18:02:46.480000;WMF;6.47;2019-07-04 18:02:45.410000;
#E001;1;-3003.535542757458;-13020.522739813186;9.209868625910776;WBS;6.39;2019-07-04 18:03:02.820000;WMF;8.26;2019-07-04 18:03:04.650000;
#E002;2;-313.7143257670104;-6234.942268917152;9.022271092381615;WBS;7.05;2019-07-04 18:04:15;WMF;7.74;2019-07-04 18:04:15.510000;
#E003;3;-1776.9714628741633;1866.7799131838322;4.74956058590149;WBS;7.25;2019-07-04 18:08:00.690000;WMF;6.53;2019-07-04 18:07:59.810000;
#E004;4;135.49481470180277;-2640.4708262399668;10.465278872543603;WBS;7.44;2019-07-04 18:08:43.380000;WMF;7.5;2019-07-04 18:08:43.460000;
#E005;5;1803.7948505724653;553.1081848309325;11.297517480060046;WBS;7.86;2019-07-04 18:08:56.030000;WMF;7.34;2019-07-04 18:08:55.040000;
#E006;6;-2697.5238447619035;-4111.709008581237;4.842798066024688;WBS;6.73;2019-07-04 18:13:01.290000;WMF;7.12;2019-07-04 18:13:01.760000;
