Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R00;0;35.00088181669772;12.00576985598205;0.6998314742781766;STA1;0.121869;1992-03-07 21:26:40.162492;STA2;0.121869;1992-03-07 21:26:40.162492;
#R17;17;35.00088008404192;12.005789514141552;0.7000402704383839;STA1;0.121912;1992-03-24 21:27:16.627549;STA2;0.121912;1992-03-24 21:27:16.627549;
#R18;18;35.000888841205054;12.005766687928006;0.700402985661311;STA1;0.121973;1992-03-25 21:27:18.772631;STA2;0.121973;1992-03-25 21:27:18.772631;
#R24;24;35.00088003446257;12.005774771324404;0.699982338266122;STA1;0.121898;1992-03-31 21:27:31.642532;STA2;0.121898;1992-03-31 21:27:31.642532;
#01;1;35.00087636207331;12.00577298982882;0.7005764338708154;STA1;0.121936;1992-03-08 21:26:42.307581;STA2;0.121936;1992-03-08 21:26:42.307581;
#02;2;35.0008793948831;12.005773135558137;0.6994030782065463;STA1;0.121869;1992-03-09 21:26:44.452492;STA2;0.121869;1992-03-09 21:26:44.452492;
#03;3;35.000877083629256;12.005773520975545;0.7006417610226057;STA1;0.121854;1992-03-10 21:26:46.597472;STA2;0.121854;1992-03-10 21:26:46.597472;
#04;4;35.0008783174601;12.005772508908256;0.6993607725958765;STA1;0.121921;1992-03-11 21:26:48.742561;STA2;0.121921;1992-03-11 21:26:48.742561;
#05;5;35.00087362763077;12.005771577819377;0.7003083468824897;STA1;0.121906;1992-03-12 21:26:50.887542;STA2;0.121906;1992-03-12 21:26:50.887542;
#06;6;35.00087933675883;12.005773042722593;0.6992897535202693;STA1;0.121948;1992-03-13 21:26:53.032598;STA2;0.121948;1992-03-13 21:26:53.032598;
#07;7;35.00087253170938;12.005771507317874;0.7000780317081694;STA1;0.121911;1992-03-14 21:26:55.177548;STA2;0.121911;1992-03-14 21:26:55.177548;
#08;8;35.0008776547381;12.005773843492449;0.6993394700576956;STA1;0.121845;1992-03-15 21:26:57.322459;STA2;0.121845;1992-03-15 21:26:57.322459;
#09;9;35.000873250786775;12.00577307067517;0.70009108949179;STA1;0.121837;1992-03-16 21:26:59.467449;STA2;0.121837;1992-03-16 21:26:59.467449;
#10;10;35.00087928287712;12.005774775708414;0.699243741389774;STA1;0.121947;1992-03-17 21:27:01.612596;STA2;0.121947;1992-03-17 21:27:01.612596;
#11;11;35.00087202115199;12.0057756451202;0.6998294449454014;STA1;0.121876;1992-03-18 21:27:03.757501;STA2;0.121876;1992-03-18 21:27:03.757501;
#12;12;35.000877734530874;12.005765942309031;0.7000749493108259;STA1;0.121933;1992-03-19 21:27:05.902576;STA2;0.121933;1992-03-19 21:27:05.902576;
#13;13;35.00088012216966;12.00577075850935;0.6992737423119737;STA1;0.121947;1992-03-20 21:27:08.047596;STA2;0.121947;1992-03-20 21:27:08.047596;
#14;14;35.00087833725706;12.0057657307435;0.7001890095587059;STA1;0.121921;1992-03-21 21:27:10.192560;STA2;0.121921;1992-03-21 21:27:10.192560;
#15;15;35.000881314928;12.005769440111925;0.6993437930871885;STA1;0.121946;1992-03-22 21:27:12.337594;STA2;0.121946;1992-03-22 21:27:12.337594;
#16;16;35.000872692278385;12.005771953666375;0.699716933505761;STA1;0.121852;1992-03-23 21:27:14.482470;STA2;0.121852;1992-03-23 21:27:14.482470;
#19;19;35.00087521643445;12.005775934410725;0.6992605562483083;STA1;0.121897;1992-03-26 21:27:20.917528;STA2;0.121897;1992-03-26 21:27:20.917528;
#20;20;35.00087256545852;12.005770999013901;0.6999130302817822;STA1;0.121845;1992-03-27 21:27:23.062460;STA2;0.121845;1992-03-27 21:27:23.062460;
#21;21;35.00088186976175;12.005768213143906;0.6996063821699556;STA1;0.122006;1992-03-28 21:27:25.207674;STA2;0.122006;1992-03-28 21:27:25.207674;
#22;22;35.00087767673387;12.005768690999227;0.7003427742908466;STA1;0.121981;1992-03-29 21:27:27.352640;STA2;0.121981;1992-03-29 21:27:27.352640;
#23;23;35.00087228775177;12.005771479540936;0.7001840469077736;STA1;0.121909;1992-03-30 21:27:29.497546;STA2;0.121909;1992-03-30 21:27:29.497546;
#25;25;35.000873761589865;12.005774001375881;0.6993224695255847;STA1;0.121897;1992-04-01 21:27:33.787528;STA2;0.121897;1992-04-01 21:27:33.787528;
#26;26;35.000879683307865;12.005765629131949;0.6995827809038986;STA1;0.121914;1992-04-02 21:27:35.932553;STA2;0.121914;1992-04-02 21:27:35.932553;
#27;27;35.00087547534094;12.005767565556239;0.7003488853692688;STA1;0.121921;1992-04-03 21:27:38.077560;STA2;0.121921;1992-04-03 21:27:38.077560;
#28;28;35.0008800675512;12.0057666304172;0.6996095153560357;STA1;0.121986;1992-04-04 21:27:40.222648;STA2;0.121986;1992-04-04 21:27:40.222648;
#29;29;35.00087217364844;12.00577102333206;0.6995462399523605;STA1;0.121882;1992-04-05 21:27:42.367510;STA2;0.121882;1992-04-05 21:27:42.367510;
#30;30;35.000878330186985;12.005772116403051;0.699174810018047;STA1;0.121951;1992-04-06 21:27:44.512602;STA2;0.121951;1992-04-06 21:27:44.512602;
#31;31;35.000879444457254;12.005765588454674;0.6997493814893209;STA1;0.121982;1992-04-07 21:27:46.657642;STA2;0.121982;1992-04-07 21:27:46.657642;
#32;32;35.00087508989018;12.005767362575797;0.7003069908517728;STA1;0.12193;1992-04-08 21:27:48.802573;STA2;0.12193;1992-04-08 21:27:48.802573;
