Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R00;0;35.00088181669772;12.00576985598205;0.6998314742781766;STA1;0.121869;1992-03-07 21:26:40.162492;STA2;0.121869;1992-03-07 21:26:40.162492;
#R17;17;35.0008814132833;12.005770787225739;0.7001412447367674;STA1;0.121912;1992-03-24 21:27:16.627549;STA2;0.121912;1992-03-24 21:27:16.627549;
#R18;18;35.00088084099771;12.005772108292236;0.7005806865526898;STA1;0.121973;1992-03-25 21:27:18.772631;STA2;0.121973;1992-03-25 21:27:18.772631;
#R24;24;35.000872699489896;12.005771520159035;0.6998726579771957;STA1;0.121898;1992-03-31 21:27:31.642532;STA2;0.121898;1992-03-31 21:27:31.642532;
#01;1;35.00087870307953;12.005766351394126;0.7001464867973328;STA1;0.121936;1992-03-08 21:26:42.307581;STA2;0.121936;1992-03-08 21:26:42.307581;
#02;2;35.000877802195866;12.005766269541368;0.7001216899492027;STA1;0.121869;1992-03-09 21:26:44.452492;STA2;0.121869;1992-03-09 21:26:44.452492;
#03;3;35.00087790875204;12.005765715001164;0.6999995722863498;STA1;0.121854;1992-03-10 21:26:46.597472;STA2;0.121854;1992-03-10 21:26:46.597472;
#04;4;35.0008775916083;12.005767045176823;0.7004092314561147;STA1;0.121921;1992-03-11 21:26:48.742561;STA2;0.121921;1992-03-11 21:26:48.742561;
#05;5;35.00087729756996;12.00576782148493;0.7004855623587433;STA1;0.121906;1992-03-12 21:26:50.887542;STA2;0.121906;1992-03-12 21:26:50.887542;
#06;6;35.000877320715404;12.005767499931444;0.7004848405952333;STA1;0.121948;1992-03-13 21:26:53.032598;STA2;0.121948;1992-03-13 21:26:53.032598;
#07;7;35.00087916411857;12.005765410078942;0.6999864063295659;STA1;0.121911;1992-03-14 21:26:55.177548;STA2;0.121911;1992-03-14 21:26:55.177548;
#08;8;35.00087817285434;12.00576521740169;0.699878321129313;STA1;0.121845;1992-03-15 21:26:57.322459;STA2;0.121845;1992-03-15 21:26:57.322459;
#09;9;35.00087828400372;12.005764610790976;0.6998419015078492;STA1;0.121837;1992-03-16 21:26:59.467449;STA2;0.121837;1992-03-16 21:26:59.467449;
#10;10;35.00087713379413;12.00576677522361;0.7004839084658345;STA1;0.121947;1992-03-17 21:27:01.612596;STA2;0.121947;1992-03-17 21:27:01.612596;
#11;11;35.000875559088826;12.005766653850491;0.7002301708966197;STA1;0.121876;1992-03-18 21:27:03.757501;STA2;0.121876;1992-03-18 21:27:03.757501;
#12;12;35.00087777551871;12.005766205010321;0.7004780281150198;STA1;0.121933;1992-03-19 21:27:05.902576;STA2;0.121933;1992-03-19 21:27:05.902576;
#13;13;35.00087991311015;12.005766985156754;0.7004855075438092;STA1;0.121947;1992-03-20 21:27:08.047596;STA2;0.121947;1992-03-20 21:27:08.047596;
#14;14;35.00087560616889;12.005766321978193;0.7003286117033415;STA1;0.121921;1992-03-21 21:27:10.192560;STA2;0.121921;1992-03-21 21:27:10.192560;
#15;15;35.00087870445724;12.00576612410132;0.7005327119721484;STA1;0.121946;1992-03-22 21:27:12.337594;STA2;0.121946;1992-03-22 21:27:12.337594;
#16;16;35.000878505220925;12.005764531651923;0.6999318405202931;STA1;0.121852;1992-03-23 21:27:14.482470;STA2;0.121852;1992-03-23 21:27:14.482470;
#19;19;35.0008809286879;12.00576727369828;0.7001489975833971;STA1;0.121897;1992-03-26 21:27:20.917528;STA2;0.121897;1992-03-26 21:27:20.917528;
#20;20;35.00087833887187;12.005764016374647;0.6999079584519472;STA1;0.121845;1992-03-27 21:27:23.062460;STA2;0.121845;1992-03-27 21:27:23.062460;
#21;21;35.00087926964985;12.00576698295634;0.7009409408879481;STA1;0.122006;1992-03-28 21:27:25.207674;STA2;0.122006;1992-03-28 21:27:25.207674;
#22;22;35.00088165754475;12.005770663100133;0.7004508197344507;STA1;0.121981;1992-03-29 21:27:27.352640;STA2;0.121981;1992-03-29 21:27:27.352640;
#23;23;35.00088103089545;12.005767827741535;0.7001389468436597;STA1;0.121909;1992-03-30 21:27:29.497546;STA2;0.121909;1992-03-30 21:27:29.497546;
#25;25;35.000881023699634;12.005767901537586;0.7001136676985346;STA1;0.121897;1992-04-01 21:27:33.787528;STA2;0.121897;1992-04-01 21:27:33.787528;
#26;26;35.00087646874525;12.005765472071648;0.7003371485083899;STA1;0.121914;1992-04-02 21:27:35.932553;STA2;0.121914;1992-04-02 21:27:35.932553;
#27;27;35.000876282938975;12.005765672560289;0.7003516356562985;STA1;0.121921;1992-04-03 21:27:38.077560;STA2;0.121921;1992-04-03 21:27:38.077560;
#28;28;35.00088009331685;12.005766149222746;0.7007529582061889;STA1;0.121986;1992-04-04 21:27:40.222648;STA2;0.121986;1992-04-04 21:27:40.222648;
#29;29;35.00087925890191;12.005764258951858;0.7001036231024937;STA1;0.121882;1992-04-05 21:27:42.367510;STA2;0.121882;1992-04-05 21:27:42.367510;
#30;30;35.0008759551837;12.00576653478881;0.7004489033853238;STA1;0.121951;1992-04-06 21:27:44.512602;STA2;0.121951;1992-04-06 21:27:44.512602;
#31;31;35.00088008748664;12.005765708660627;0.7007200528691724;STA1;0.121982;1992-04-07 21:27:46.657642;STA2;0.121982;1992-04-07 21:27:46.657642;
