Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#R00;0;35.00088181669772;12.00576985598205;0.6998314742781766;STA1;0.121869;1992-03-07 21:26:40.162492;STA2;0.121869;1992-03-07 21:26:40.162492;
#R17;17;35.00088003446257;12.005774771324404;0.699982338266122;STA1;0.121912;1992-03-24 21:27:16.627549;STA2;0.121912;1992-03-24 21:27:16.627549;
#R18;18;35.00088008404192;12.005789514141552;0.7000402704383839;STA1;0.121973;1992-03-25 21:27:18.772631;STA2;0.121973;1992-03-25 21:27:18.772631;
#R24;24;35.000888841205054;12.005766687928006;0.700402985661311;STA1;0.121898;1992-03-31 21:27:31.642532;STA2;0.121898;1992-03-31 21:27:31.642532;
#01;1;35.000876369169944;12.00577297281901;0.7005717990015053;STA1;0.121936;1992-03-08 21:26:42.307581;STA2;0.121936;1992-03-08 21:26:42.307581;
#02;2;35.000879887341156;12.005773203944614;0.6994006034560428;STA1;0.121869;1992-03-09 21:26:44.452492;STA2;0.121869;1992-03-09 21:26:44.452492;
#03;3;35.00087724843294;12.005773302907343;0.7006247629619146;STA1;0.121854;1992-03-10 21:26:46.597472;STA2;0.121854;1992-03-10 21:26:46.597472;
#04;4;35.00087841499533;12.005772503104806;0.6993642761786736;STA1;0.121921;1992-03-11 21:26:48.742561;STA2;0.121921;1992-03-11 21:26:48.742561;
#05;5;35.00087390438471;12.005771590065377;0.7003371068670527;STA1;0.121906;1992-03-12 21:26:50.887542;STA2;0.121906;1992-03-12 21:26:50.887542;
#06;6;35.000878779416205;12.005772857476444;0.6993038131100439;STA1;0.121948;1992-03-13 21:26:53.032598;STA2;0.121948;1992-03-13 21:26:53.032598;
#07;7;35.00087281147851;12.005771409366456;0.7001731660241673;STA1;0.121911;1992-03-14 21:26:55.177548;STA2;0.121911;1992-03-14 21:26:55.177548;
#08;8;35.00088001410902;12.00577334677422;0.6993565993258674;STA1;0.121845;1992-03-15 21:26:57.322459;STA2;0.121845;1992-03-15 21:26:57.322459;
#09;9;35.00087535267958;12.005768986529956;0.7001643004211704;STA1;0.121837;1992-03-16 21:26:59.467449;STA2;0.121837;1992-03-16 21:26:59.467449;
#10;10;35.0008732860223;12.005776003110906;0.6996906797769392;STA1;0.121947;1992-03-17 21:27:01.612596;STA2;0.121947;1992-03-17 21:27:01.612596;
#11;11;35.00087943917747;12.005770142147547;0.6992906469518747;STA1;0.121876;1992-03-18 21:27:03.757501;STA2;0.121876;1992-03-18 21:27:03.757501;
#12;12;35.00087356100715;12.005776960431271;0.699553160871516;STA1;0.121933;1992-03-19 21:27:05.902576;STA2;0.121933;1992-03-19 21:27:05.902576;
#13;13;35.000873777354066;12.005771483819968;0.7003670037316366;STA1;0.121947;1992-03-20 21:27:08.047596;STA2;0.121947;1992-03-20 21:27:08.047596;
